Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii	Total
OG0000058	5	4	7	6	6	4	4	6	6	4	4	4	4	4	4	4	4	4	6	4	6	100
OG0000059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	100
OG0000060	1	3	1	4	5	2	1	7	41	2	2	2	2	2	2	2	2	2	5	3	7	98
OG0000061	0	0	0	0	0	0	0	0	0	0	0	33	7	0	0	55	0	0	0	0	0	95
OG0000062	3	3	3	3	3	3	2	5	2	3	5	11	12	3	3	12	3	3	4	3	5	94
OG0000063	4	3	3	4	5	3	4	6	8	4	4	4	4	4	4	4	4	4	6	4	7	93
OG0000064	0	0	0	8	26	0	0	23	0	0	0	0	0	0	0	0	0	0	5	0	29	91
OG0000065	2	3	1	7	5	1	6	4	3	5	5	5	5	5	5	5	5	5	5	2	5	89
OG0000066	3	3	3	2	4	4	5	4	7	5	5	5	5	5	5	5	5	5	3	2	3	88
OG0000067	5	5	4	3	5	4	3	4	5	4	4	4	4	4	4	4	4	4	4	4	4	86
OG0000068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	86
OG0000069	0	0	0	0	0	0	0	0	0	0	0	7	8	54	1	10	4	0	0	0	0	84
OG0000070	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	82
OG0000071	6	1	0	1	2	4	5	3	2	5	5	5	5	5	5	5	5	5	3	5	2	79
OG0000072	4	4	1	2	5	2	3	6	4	3	3	4	4	4	4	4	4	3	5	3	6	78
OG0000073	3	4	2	5	6	2	3	5	7	3	3	3	3	3	3	3	3	3	4	3	6	77
OG0000074	4	0	4	1	4	3	4	4	1	4	4	4	4	4	4	4	4	4	3	4	4	72
OG0000075	3	5	1	2	4	1	2	5	6	3	3	4	4	4	4	4	4	3	2	4	4	72
OG0000076	0	0	0	0	0	0	3	0	4	5	5	9	9	3	8	8	12	5	0	1	0	72
OG0000077	2	3	0	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	3	2	4	71
OG0000078	0	0	1	1	1	1	1	1	0	1	1	19	20	1	1	18	1	1	1	0	1	71
OG0000079	4	1	1	3	4	2	4	3	3	4	4	4	4	4	4	4	4	4	3	3	3	70
OG0000080	3	4	1	5	5	3	2	5	6	3	3	3	3	3	3	3	3	3	2	3	4	70
OG0000081	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
OG0000082	2	1	4	4	4	1	5	2	4	4	4	4	4	4	4	4	4	4	2	2	2	69
OG0000083	5	5	1	3	4	3	3	3	6	3	3	3	3	3	3	3	3	3	3	3	3	69
OG0000084	3	4	4	4	3	1	3	3	4	3	3	4	4	3	3	5	3	3	3	3	3	69
OG0000085	0	0	0	0	0	0	0	0	0	32	19	0	0	0	0	0	0	18	0	0	0	69
OG0000086	2	5	1	3	4	1	4	5	7	3	3	3	3	3	3	3	3	3	2	2	5	68
OG0000087	1	4	0	3	6	1	3	7	5	3	3	3	3	3	3	3	3	3	4	1	6	68
OG0000088	4	5	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	68
OG0000089	3	4	4	6	4	2	2	5	9	2	2	2	2	2	2	2	2	2	3	3	5	68
OG0000090	3	6	3	3	3	3	3	3	5	3	3	3	2	3	3	3	3	3	3	3	3	67
OG0000091	2	5	2	5	5	2	1	6	7	2	2	2	2	2	2	2	2	2	5	2	6	66
OG0000092	3	3	3	3	3	2	3	3	4	3	3	4	4	3	3	4	3	3	3	3	3	66
OG0000093	6	0	1	2	3	1	2	3	0	3	12	3	3	3	3	3	3	3	1	8	3	66
OG0000094	0	0	0	0	0	0	0	0	0	5	6	2	2	2	17	2	24	6	0	0	0	66
OG0000095	3	3	3	3	3	3	3	3	4	3	3	3	3	3	5	3	3	3	2	3	3	65
OG0000096	3	4	2	3	3	3	3	2	6	3	3	3	3	3	3	3	3	3	3	3	3	65
