Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii	Total
OG0001903	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	17
OG0001904	0	0	0	0	0	0	2	0	0	1	1	2	2	2	2	2	2	1	0	0	0	17
OG0001905	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	0	0	0	0	0	17
OG0001906	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	3	4	0	0	0	0	17
OG0001907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17
OG0001908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17
OG0001909	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001910	1	0	0	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0001911	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001912	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	16
OG0001913	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001914	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	16
OG0001915	1	2	0	0	0	1	0	0	2	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001916	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001917	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001918	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001919	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001920	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001921	1	1	1	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001922	1	0	0	0	0	1	2	0	2	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001923	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001924	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001925	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001926	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001927	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001928	1	2	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001929	1	1	0	0	0	1	0	0	0	1	1	2	2	1	1	2	1	1	0	1	0	16
OG0001930	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001931	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001932	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001933	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001934	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001935	1	0	1	0	1	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001936	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001937	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001938	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001939	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001940	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001941	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001942	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001943	1	0	0	0	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001944	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001945	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	16
OG0001946	1	0	0	0	1	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001947	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001948	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001949	2	5	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	1	16
OG0001950	1	2	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001951	1	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001952	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001953	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	16
OG0001954	1	0	1	0	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0001955	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001956	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001957	1	0	0	0	1	1	2	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0001958	1	0	0	0	1	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0001959	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	16
OG0001960	1	1	0	0	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0001961	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001962	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001963	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001964	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001965	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001966	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001967	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001968	0	2	1	3	3	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	1	16
OG0001969	0	1	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001970	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001971	0	3	0	2	2	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	2	16
OG0001972	0	1	0	0	0	1	1	0	1	1	1	2	2	1	1	2	1	1	0	0	0	16
OG0001973	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0001974	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	2	0	1	16
OG0001975	0	1	0	0	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001976	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001977	0	1	0	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001978	0	2	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	16
OG0001979	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001980	0	1	0	0	1	1	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	16
OG0001981	0	1	1	1	1	0	0	0	1	1	1	1	2	1	1	1	1	1	0	0	1	16
OG0001982	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001983	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001984	0	2	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001985	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001986	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001987	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001988	0	2	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	16
OG0001989	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001990	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001991	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001992	0	1	0	1	1	1	0	1	2	1	1	1	1	1	0	1	1	1	0	0	1	16
OG0001993	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	16
OG0001994	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0001995	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001996	0	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001997	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001998	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0001999	0	1	0	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0002000	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002001	0	2	0	0	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002002	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002003	0	1	1	0	1	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	0	16
OG0002004	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002005	0	1	0	0	1	0	1	1	2	1	1	1	0	1	1	1	1	1	1	0	1	16
OG0002006	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002007	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002008	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002009	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002010	0	0	1	0	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002011	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	16
OG0002012	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002013	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002014	0	0	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	16
OG0002015	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002016	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002017	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002018	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002019	0	0	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002020	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002021	0	0	0	1	1	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002022	0	0	0	1	2	0	0	2	1	0	0	1	1	1	1	1	1	0	2	0	2	16
OG0002023	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002024	0	0	0	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002025	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	0	1	16
OG0002026	0	0	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002027	0	0	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002028	0	0	0	1	0	1	1	2	0	1	1	1	0	1	1	1	1	1	0	1	2	16
OG0002029	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002030	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002031	0	0	0	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	0	0	1	16
OG0002032	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002033	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002034	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002035	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002036	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002037	0	0	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002038	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002039	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0002040	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002041	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0002042	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002043	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002044	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002045	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002046	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002047	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002048	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002049	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002050	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002051	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002052	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0	1	16
OG0002053	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16
OG0002054	0	0	0	0	0	1	1	1	0	1	1	2	2	1	1	2	1	1	0	0	1	16
OG0002055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	16
OG0002056	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002057	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	15
OG0002058	1	2	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002059	1	1	0	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002060	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002061	1	0	1	0	0	1	2	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002062	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002063	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002064	1	0	0	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	1	15
OG0002065	1	0	1	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002066	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002067	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002068	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002069	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	15
OG0002070	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002071	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002072	2	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002073	1	0	0	0	0	0	0	0	0	1	1	2	2	1	1	2	1	1	1	1	0	15
OG0002074	1	0	0	0	1	1	2	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002075	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	15
OG0002076	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002077	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	15
OG0002078	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002079	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002080	1	1	0	0	0	1	1	0	0	1	1	2	1	1	1	1	1	1	0	1	0	15
OG0002081	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002082	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002083	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002084	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	15
OG0002085	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	15
OG0002086	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002087	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002088	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002089	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002090	1	0	0	0	0	1	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002091	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	15
OG0002092	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	15
OG0002093	1	0	0	0	0	1	1	0	2	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002094	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002095	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002096	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	15
OG0002097	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002098	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002099	0	1	0	1	0	0	1	0	2	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002100	0	1	0	0	0	1	2	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002101	0	1	0	0	1	0	0	1	2	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002102	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002103	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002104	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002105	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002106	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002107	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002108	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002109	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002110	0	1	0	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002111	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	15
OG0002112	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002113	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002114	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002115	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002116	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002117	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002118	0	1	0	0	1	0	0	1	2	1	1	1	1	1	0	1	1	1	1	0	1	15
OG0002119	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002120	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002121	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002122	0	1	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002123	0	1	0	0	0	1	2	0	2	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002124	0	1	0	0	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002125	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002126	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002127	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002128	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	15
OG0002129	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	15
OG0002130	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002131	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002132	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	15
OG0002133	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002134	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002135	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002136	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002137	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	15
OG0002138	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002139	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002140	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002141	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002142	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002143	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002144	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002145	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002146	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002147	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002148	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002149	0	0	0	1	2	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002150	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002151	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002152	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002153	0	0	0	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002154	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002155	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002156	0	0	0	1	1	0	0	0	1	1	1	2	0	1	1	2	1	1	1	0	1	15
OG0002157	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002158	0	0	0	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002159	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002160	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002161	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002162	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002163	0	0	0	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	15
OG0002164	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002165	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002166	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002167	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002168	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002169	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002170	0	0	0	0	2	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	15
OG0002171	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002172	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002173	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002174	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	15
OG0002175	0	0	0	0	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	15
OG0002176	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	15
